Date	Origine Time	Lat	Long	MI	mb	ms	mw	FD
1930/10/02	15:33:12	35.8	52.1		5		5.1	
1930/10/07	20:53:06	35.8	52.1		5		5.1	
1945/05/11	20:17:28	34.8	52.1	4.7			4.6	
1951/04/22	06:32:41	34.8	52.1	5			5	
1954/09/02	22:47:00	35.3	52.0	4.5			4.5	
1955/04/08	21:58:00	36.0	52.0					
1955/11/24	??:??:??	35.75	52.05	4			3.9	
1957/05/06	15:06:50	36.45	51.3	5.5			5.5	
1959/05/01	08:24:04	36.48	51.29			5	5.4	35f
1963/07/05	23:49:34	35.8	51.5	4.1			4.3	
1966/11/08	03:14:12	36.1	50.74		4.8		5	41
1967/02/16	11:55:32	35.4	51.9		4.5		4.7	144
1970/06/27	07:57:58	35.12	50.8		4.8		5	52
1970/10/03	06:57:03	36.01	51.31		4.1		4.3	78
1974/01/10	16:36:19	35.8	51.95		4.3		4.5	33N
1975/10/17	06:58:54	36.153	51.819	3				32
1977/05/14	19:15:51	35.847	52.418					1G
1979/02/22	05:07:17	35.201	52.099		4.6		4.8	33f
1981/08/04	18:53:59	36.445	51.268		4.7		4.9	0.0f
1982/10/25	16:54:51	35.208	52.355		4.6		4.8	33N
1983/03/25	11:57:46	36.132	52.361		4.1	4.9	5.4	10f
1983/03/26	04:07:19	36.057	52.279		5.4	4.9		33f
1983/05/29	17:15:40	35.242	52.169		4.4		4.6	39
1988/01/14	11:29:20	36.01	50.6		4.6		4.8	33N
1988/08/22	21:23:35	35.348	52.378		5	5	5.4	18
1988/08/23	05:30:51	35.419	52.275		5	4.8	5.2	34
1988/08/23	10:58:09	35.337	52.344		4.6	4.6	5.1	16
1988/08/23	15:09:56	35.64	52.402		4		4.3	10f
1988/10/24	17:01:58	35.254	52.295		4.9	4.4	5	34
1988/10/26	14:49:20	35.119	52.228		4.7		4.9	6
1988/12/08	18:40:59	35.149	52.204		4.4		4.5	10f
1990/01/01	18:36:21	35.12	50.72					10G
1990/01/20	21:21:14	35.59	51.44					10G
1990/01/21	13:39:40	35.92	51.38					10G
1990/01/21	21:28:01	35.33	51.83					10G
1990/01/23	19:42:37	35.298	50.744					5G
1990/01/25	11:39:26	35.54	51.72					10G
1990/01/28	13:54:28	35.54	51.72					10G
1991/01/22	12:04:25	35.44	52.322		4.5		4.7	33f
1993/03/08	19:13:24	36.495	51.024		4.4		4.6	56
1993/05/12	09:41:17	36.39	51.98		4.3		4.5	33N
1993/08/19	10:04:28	35.09	52.09		4.6		4.8	18D
1994/11/21	18:55:18	36.05	51.913		4.5	3.7	4.7	43
1997/11/05	22:42:57	34.94	51.371		4.2		4.4	43
1998/07/07	11:06:38	36.212	52.079		3.6		3.9	33f
1998/08/30	15:12:55	36.096	52.124		3.6		3.9	33f
1998/12/03	13:13:34	36.063	50.972		4.3	3.6	4.5	46
1988/12/03	21:07:18	36.302	51.112		3.9		4.2	100f
2001/06/24	07:05:18	35.838	52.184		3.6		3.9	04f
2002/01/12	05:18:22	35.608	50.555		3.2		3.6	33f
2002/04/08	18:30:59	36.365	52.017		4.8	4.1	4.8	57
2002/05/21	10:48:34	36.292	51.547		4.1	3.3	4.3	12
2002/10/10	12:13:40	35.823	52.249		4.5		4.7	15
2002/10/15	13:59:34	35.838	52.232		3.7	3.4	4.3	33f
2002/10/15	16:56:08	35.82	52.223		4	3.5	4.4	10f
2004/02/21	12:07:31	35.74	52.27				3.9	14-16
2004/05/28	12:38:43	36.321	51.587		6.2	6.3	6.2	17f
2004/05/28	13:07:07	36.418	51.717		3.8		4.1	10f
2004/05/28	13:15:06	36.45	51.514		4.4	4.8	5.2	20
2004/05/28	13:28:41	36.363	51.737		3.3		3.7	10f
2004/05/28	13:35:52	36.459	51.576		3.9		4.2	3.3
2004/05/28	19:47:02	36.488	51.341		4.5	4.1	4.8	20
2004/05/28	20:32:53	36.568	51.147		3.4			10f
2004/05/29	04:12:33	36.442	51.694		3.6		3.9	10f
2004/05/29	04:52:59	36.514	51.418		3.4			10f
2004/05/29	09:23:47	36.544	51.388		4.8	4.6	5.1	12
2004/05/29	11:01:28	36.532	51.412		4	3.8	4.6	10f
2004/05/29	15:40:59	36.545	51.429		3.5		3.8	10f
2004/05/29	17:30:23	36.528	51.457		3.7		4	13
2004/05/29	18:38:04	36.524	51.361		4.3	3.9		10
2004/05/29	18:42:42	36.487	51.425		3.7		4	11
2004/05/29	22:55:15	36.541	51.415		3.8		4.1	10f
2004/05/30	01:42:39	36.488	51.588		4.2	3.5	4.4	25
2004/05/30	13:09:50	36.563	51.404		4.1	3.5	4.4	10f
2004/05/30	19:27:00	36.455	51.556		3.7		4	27
2004/05/31	22:05:32	36.558	51.311		3.4			10f
2004/06/12	06:43:39	36.474	51.542		3.1			10f
2004/06/07	04:01:18	36.519	51.385		4	3.4	4.3	14f
2004/06/12	21:30:58	36.511	51.571		3.5		3.8	10f
2004/09/24	01:42:48	36.657	52.405				4.1	4-6
2004/07/11	13:16:47	36.532	51.616		3.4		3.7	33f
2006/02/22	23:19:25	36.085	50.42		3.1			14f
2006/12/20	04:39:21	35.79	51.926	4.2			3.6	10
????/??/??	04:39:20	35.802	51.915				3.8	14
2007/06/04	08:04:15	36.445	51.374		3.6		3.9	3.5
2007/08/25	10:07:36	34.926	51.952		4.3	3.5	4.4	21
2009/08/13	13:57:43	36.371	52.003		4.1	3.3	4.2	9
2009/08/15	00:28:37	36.437	51.994		3.9		4.2	3
2009/10/17	10:53:56	35.561	51.498	4			4.3	12
2010/03/09	03:22:14	36.471	51.862		3.5		3.8	07f
2011/02/20	11:22:16	35.4	51.847	4				10f
2011/10/07	00:39:12	35.233	51.909					15f
2011/11/20	13:19:08	35.223	51.906		3.4			6.8
2012/02/10	08:59:41	35.542	52.426		4.3	3.4	4.3	15
2012/07/25	11:52:17	36.031	52.148		3.7		4	11f
2012/08/17	20:31:27	35.833	51.874		3.7		4	8.7
2015/04/06	18:19:14	35.197	52.253	3				8.5
2015/08/13	18:41:49	35.152	51.925	3.4				14.2
2015/08/13	18:42:13	35.145	51.895	4.1			4.3	14
2015/08/13	18:57:37	35.15	51.94	3.6			3.9	11.3
2015/08/14	06:28:30	35.14	51.942	3.4				8.8
2015/08/25	17:36:33	35.577	52.628	4.6			4.8	10
2015/08/25	14:40:22	35.57	52.613	3.2				10
